,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
390421,4.0,25.3359375,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,CH,2017,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,3.0,5.0,,2.0,2.0,342.10526315789474
390422,4.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,78.94736842105263
390423,4.0,25.6087922,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,CH,2017,5.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390424,4.0,21.85253491,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,2.0,78.94736842105263
390425,4.0,21.89946854,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,26.31578947368421
390426,4.0,34.15610652,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390428,4.0,19.2591051,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,,,2.0,210.52631578947367
390429,4.0,27.6035539,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,CH,2017,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,0.0
390430,4.0,24.48442907,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0
390431,4.0,26.29003726,1.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,6.0,2.0,78.94736842105263
390432,4.0,23.09223009,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
390433,4.0,23.3241506,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,CH,2017,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,342.10526315789474
390434,4.0,20.82644628,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,263.1578947368421
390435,4.0,20.31691069,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390438,4.0,20.08928571,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,CH,2017,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,78.94736842105263
390439,4.0,44.9575831,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390440,4.0,27.109375,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,,2.0,0.0
390441,4.0,34.23327664,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,7.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390442,4.0,27.58528517,1.0,1.0,1.0,1.0,1.0,6.0,,1.0,2.0,1.0,CH,2017,1.0,6.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,6.0,2.0,1.0,5.0,3.0,1.0,2.0,5.0,1.0,131.57894736842104
390443,4.0,24.79555556,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,,6.0,2.0,78.94736842105263
390444,4.0,19.61937716,1.0,1.0,,2.0,,,1.0,2.0,1.0,1.0,CH,2017,1.0,5.0,4.0,2.0,,2.0,3.0,,1.0,3.0,2.0,1.0,,,1.0,2.0,4.0,,,2.0,368.4210526315789
390445,4.0,22.57617729,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,78.94736842105263
390446,4.0,29.44944598,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,78.94736842105263
390447,4.0,24.01384083,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,CH,2017,6.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,78.94736842105263
390448,4.0,25.52371884,1.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,,2.0,4.0,1.0,1.0,4.0,1.0,,2.0,2.0,26.31578947368421
390449,4.0,23.30286281,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,3.0,5.0,1.0,3.0,4.0,2.0,0.0
390450,4.0,19.2555102,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,3.0,5.0,1.0,1.0,4.0,2.0,0.0
390451,4.0,20.24422897,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
390453,4.0,24.25072672,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390454,4.0,31.82866116,1.0,1.0,4.0,1.0,1.0,2.0,,2.0,2.0,1.0,CH,2017,1.0,3.0,1.0,1.0,4.0,,1.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,,,2.0,131.57894736842104
390455,4.0,21.79296875,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,210.52631578947367
390456,4.0,18.43878204,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,CH,2017,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,6.0,2.0,1.0,5.0,1.0,3.0,5.0,1.0,0.0
390458,4.0,20.486281,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390459,4.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,1.0,CH,2017,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,78.94736842105263
390460,4.0,17.1875,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,26.31578947368421
390461,4.0,16.83203125,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
390462,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390463,4.0,26.68262404,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0
390464,4.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390465,4.0,19.46366782,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
390468,4.0,19.15886134,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,3.0,1.0,CH,2017,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,4.0,1.0,,,2.0,26.31578947368421
390469,4.0,25.49011446,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390470,4.0,22.73380333,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
390471,4.0,32.95703125,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390472,4.0,30.88178208,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,CH,2017,7.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
390473,4.0,18.07421875,2.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,5.0,1.0,,5.0,2.0,0.0
390474,4.0,23.09223009,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,210.52631578947367
390475,4.0,27.37565036,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390476,4.0,19.63190184,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,78.94736842105263
390477,4.0,17.99449036,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,0.0
390478,4.0,28.22222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,263.1578947368421
390479,4.0,22.19503933,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
390480,4.0,22.08203173,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,6.0,2.0,157.89473684210526
390481,4.0,19.77508651,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,CH,2017,2.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,157.89473684210526
390482,4.0,18.32874197,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,,2.0,0.0
390483,4.0,24.19111111,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,5.0,2.0,78.94736842105263
390484,4.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,1.0,CH,2017,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390485,4.0,26.6816609,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,157.89473684210526
390486,4.0,18.60546875,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,78.94736842105263
390487,4.0,23.390625,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,131.57894736842104
390488,4.0,19.1200271,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,26.31578947368421
390489,4.0,22.19101124,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,157.89473684210526
390491,4.0,23.2109375,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,157.89473684210526
390492,4.0,24.917458,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,CH,2017,,,1.0,1.0,1.0,,,1.0,,,,,,2.0,1.0,4.0,1.0,,,2.0,26.31578947368421
390493,4.0,18.31425598,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,CH,2017,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,,,2.0,131.57894736842104
390494,4.0,21.26171875,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,CH,2017,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,4.0,,4.0,2.0,184.21052631578945
390495,4.0,22.45121506,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390496,4.0,20.19921875,2.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,CH,2017,3.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,5.0,4.0,2.0,0.0
390497,4.0,21.66023875,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,CH,2017,7.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,26.31578947368421
390498,4.0,21.97534164,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,78.94736842105263
390499,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
390501,4.0,16.82644628,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,CH,2017,7.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390502,4.0,21.16888889,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,157.89473684210526
390503,4.0,23.82369146,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,CH,2017,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,,,2.0,78.94736842105263
390504,4.0,17.75377319,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,105.26315789473684
390505,4.0,25.11418685,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,1.0,2.0,5.0,2.0,26.31578947368421
390506,4.0,20.76247118,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,CH,2017,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390507,4.0,19.2591051,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,CH,2017,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,4.0,1.0,3.0,5.0,2.0,26.31578947368421
390509,4.0,19.93425606,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,CH,2017,6.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,0.0
390510,4.0,22.32506887,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390511,4.0,36.24256837,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,CH,2017,6.0,1.0,1.0,,,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,131.57894736842104
390512,4.0,21.710718,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,0.0
390513,4.0,22.17777778,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390514,4.0,19.99265381,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,CH,2017,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390515,4.0,21.16110187,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,78.94736842105263
390516,4.0,26.81333333,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390517,4.0,25.49011446,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,CH,2017,6.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,7.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390519,4.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390520,4.0,23.97918835,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,CH,2017,7.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,7.0,5.0,1.0,3.0,4.0,3.0,,5.0,1.0,157.89473684210526
390521,4.0,26.63254168,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390522,4.0,19.4921875,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390523,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,CH,2017,7.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,26.31578947368421
390524,4.0,23.8444753,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,CH,2017,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,2.0,,4.0,2.0,105.26315789473684
390525,4.0,17.36328125,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
390526,4.0,27.23437056,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,CH,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,1.0,3.0,5.0,2.0,0.0
390527,4.0,19.4921875,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
390528,4.0,25.11134235,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,CH,2017,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,3.0,2.0,1.0,3.0,,157.89473684210526
