,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
387646,3.0,,1.0,,,2.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,2.0,1.0,2.0,,4.0,1.0,1.0,5.0,,26.31578947368421
387647,3.0,18.29072316,1.0,,,2.0,2.0,3.0,2.0,2.0,,2.0,CE,2017,7.0,,1.0,1.0,1.0,2.0,4.0,2.0,,,1.0,3.0,5.0,2.0,1.0,5.0,3.0,2.0,5.0,,131.57894736842104
387648,3.0,22.73380333,1.0,,,2.0,2.0,,2.0,2.0,3.0,2.0,CE,2017,2.0,,1.0,1.0,3.0,3.0,1.0,2.0,,,1.0,2.0,,2.0,5.0,3.0,1.0,2.0,2.0,,78.94736842105263
387650,3.0,16.2958795,1.0,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,2.0,5.0,2.0,5.0,4.0,1.0,2.0,4.0,,26.31578947368421
387651,3.0,16.29387755,1.0,,,1.0,1.0,,2.0,2.0,3.0,2.0,CE,2017,2.0,,1.0,1.0,7.0,3.0,2.0,2.0,,,1.0,2.0,,2.0,2.0,3.0,5.0,,1.0,,342.10526315789474
387652,3.0,18.86600272,1.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,CE,2017,1.0,,1.0,2.0,1.0,3.0,3.0,2.0,,,1.0,2.0,,2.0,1.0,5.0,5.0,,,,263.1578947368421
387653,3.0,,1.0,,,2.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,4.0,3.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387654,3.0,18.18637442,1.0,,,2.0,2.0,1.0,2.0,2.0,4.0,2.0,CE,2017,1.0,,1.0,1.0,2.0,3.0,4.0,2.0,,,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387656,3.0,21.4696859,1.0,,,2.0,2.0,,,2.0,2.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,,2.0,1.0,4.0,1.0,,,,26.31578947368421
387657,3.0,24.54120499,1.0,,,2.0,2.0,1.0,2.0,1.0,,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,4.0,2.0,,,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,131.57894736842104
